,strategy,buy_and_hold,,,,,
total_return,-0.123232274,1.342941146,,,,,
cagr,-0.01270749,0.086318628,,,,,
ann_vol,0.148930994,0.231817723,,,,,
sharpe,-0.013496543,0.483583682,,,,,
max_drawdown,-0.526440282,-0.59855914,,,,,
max_drawdown_date,20-11-2008 00:00,27-10-2008 00:00,,,,,
calmar,-0.024138521,0.144210692,,,,,
n_trades,92,,,,,,
exposure_fraction_of_days,0.146322068,,,,,,
win_rate_net,0.5,,,,,,S
avg_trade_net,-0.000304351,,,,,,
median_trade_net,-0.00063165,,,,,,
profit_factor,0.982729085,,,,,,
worst_trade,-0.193008614,,,,,,
trades_truncated_at_end,0,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,S,,
