Date,n_days,first,last,vs_expected,low_coverage
2007,72,2007-09-17,2007-12-31,-176,False
2008,245,2008-01-01,2008-12-31,-3,False
2009,241,2009-01-02,2009-12-31,-7,False
2010,250,2010-01-04,2010-12-31,2,False
2011,242,2011-01-03,2011-12-30,-6,False
2012,242,2012-01-03,2012-12-31,-6,False
2013,247,2013-01-02,2013-12-31,-1,False
2014,240,2014-01-02,2014-12-31,-8,False
2015,244,2015-01-02,2015-12-31,-4,False
2016,244,2016-01-04,2016-12-30,-4,False
2017,248,2017-01-02,2017-12-29,0,False
2018,245,2018-01-02,2018-12-31,-3,False
2019,241,2019-01-02,2019-12-31,-7,False
2020,250,2020-01-01,2020-12-31,2,False
2021,248,2021-01-01,2021-12-31,0,False
2022,248,2022-01-03,2022-12-30,0,False
2023,245,2023-01-02,2023-12-29,-3,False
2024,246,2024-01-01,2024-12-31,-2,False
2025,249,2025-01-01,2025-12-31,1,False
2026,177,2026-01-01,2026-09-21,-71,False
