event_date,event_return,entry_date,entry_px,exit_date,exit_px,gross,net,retraced
2007-10-18,-0.03746871224895365,2007-10-19,5360.35009765625,2007-10-25,5568.9501953125,0.03891538684151574,0.03791538684151574,True
2007-11-20,-0.02145523213041356,2007-11-21,5778.7998046875,2007-11-27,5698.14990234375,-0.013956168247657663,-0.014956168247657664,False
2007-12-17,-0.044760849012045356,2007-12-18,5777.60009765625,2007-12-26,6070.75,0.05073904344169988,0.04973904344169988,True
2008-01-15,-0.021355579180658557,2008-01-16,6065.0,2008-01-22,4899.2998046875,-0.19220118636644679,-0.1932011863664468,False
2008-01-22,-0.05941867831462344,2008-01-23,4903.0498046875,2008-01-29,5280.7998046875,0.07704388391871042,0.07604388391871042,True
2008-01-30,-0.02143609135320157,2008-01-31,5172.25,2008-02-06,5322.5498046875,0.029058882437527078,0.028058882437527077,True
2008-02-06,-0.029422509624453808,2008-02-07,5322.5498046875,2008-02-13,4929.4501953125,-0.07385550606380464,-0.07485550606380464,False
2008-02-20,-0.02392622595972027,2008-02-21,5156.89990234375,2008-02-27,5268.39990234375,0.0216215172121772,0.0206215172121772,False
2008-03-03,-0.05178520149325161,2008-03-04,4958.5498046875,2008-03-11,4865.89990234375,-0.018684878844246855,-0.019684878844246856,False
2008-03-13,-0.050985201630490584,2008-03-14,4623.7998046875,2008-03-24,4609.85009765625,-0.0030169357715504885,-0.0040169357715504886,False
2008-03-31,-0.04198704977741807,2008-04-01,4735.64990234375,2008-04-07,4761.2001953125,0.005395308668426857,0.004395308668426857,False
2008-06-02,-0.02679616381248584,2008-06-03,4739.2998046875,2008-06-09,4500.9501953125,-0.05029215690032007,-0.051292156900320074,False
2008-06-09,-0.027410349351437824,2008-06-10,4522.0,2008-06-16,4572.5,0.011167624944714794,0.010167624944714793,False
2008-06-20,-0.03478940896098126,2008-06-23,4351.14990234375,2008-06-27,4136.64990234375,-0.049297313311237434,-0.050297313311237435,False
2008-06-27,-0.04152141322281233,2008-06-30,4136.25,2008-07-04,4016.0,-0.029072227258990613,-0.030072227258990614,False
2008-07-11,-0.027197200999602766,2008-07-14,4047.449951171875,2008-07-18,4092.25,0.011068709772471319,0.010068709772471318,False
2008-07-25,-0.02744972141794355,2008-07-28,4282.25,2008-08-01,4413.5498046875,0.030661405730048497,0.029661405730048496,False
2008-08-14,-0.0217152854608067,2008-08-18,4430.7001953125,2008-08-22,4327.4501953125,-0.02330331447594547,-0.02430331447594547,False
